date,WILL5000IND_r2,WILLLRGCAP_r2,WILLLRGCAPVAL_r2,WILLLRGCAPGR_r2,WILLMIDCAP_r2,WILLMIDCAPVAL_r2,WILLMIDCAPGR_r2,WILLSMLCAP_r2,WILLSMLCAPVAL_r2,WILLSMLCAPGR_r2,WILL5000IND_sign,WILLLRGCAP_sign,WILLLRGCAPVAL_sign,WILLLRGCAPGR_sign,WILLMIDCAP_sign,WILLMIDCAPVAL_sign,WILLMIDCAPGR_sign,WILLSMLCAP_sign,WILLSMLCAPVAL_sign,WILLSMLCAPGR_sign,WILL5000IND_pch,WILLLRGCAP_pch,WILLLRGCAPVAL_pch,WILLLRGCAPGR_pch,WILLMIDCAP_pch,WILLMIDCAPVAL_pch,WILLMIDCAPGR_pch,WILLSMLCAP_pch,WILLSMLCAPVAL_pch,WILLSMLCAPGR_pch
1986-10-31,24.4535195025,28.3767159204,13.9873756009,49.8311751744,13.280266524100002,10.602317454400001,16.4012850225,10.8644070544,5.95896921,17.171824332099998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.94505,5.32698,3.73997,7.05912,3.64421,3.25612,4.04985,3.29612,2.4411,4.14389
1986-11-30,2.4670356624000003,3.7333581961,2.3472691264000005,5.5457424036,0.6161936004,0.1919053249,1.3180188025000001,0.0090383049,0.32604099999999997,0.13615362009999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.57068,1.93219,1.53208,2.35494,0.78498,0.43807,1.14805,-0.09507,-0.571,0.36899
1986-12-31,6.642578382399999,7.409229560099999,8.2706857744,6.5584649025,6.1312197769,7.0172539801000005,5.28034441,4.28034721,3.6097720036,4.990621960899999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.57732,-2.72199,-2.87588,-2.56095,-2.47613,-2.64901,-2.2979,-2.0689,-1.89994,-2.23397
1987-01-31,165.7599600484,176.9950856025,148.17705984,209.9267743225,184.95999999999998,176.4072737856,194.1808806144,141.9176629264,119.37463525689999,165.7179909225,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.87478,13.30395,12.1728,14.48885,13.6,13.28184,13.93488,11.91292,10.92587,12.87315
1987-02-28,23.4619140625,18.020364601600004,5.000053766399999,39.7170946225,38.9373504004,32.6859184656,45.833306200900005,53.684929,38.5016527009,70.50994488039998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.84375,4.24504,2.23608,6.30215,6.23998,5.71716,6.77003,7.327,6.20497,8.39702
1987-03-31,5.68584025,5.1571684836,6.7130219024999995,3.8216340100000004,3.0945735396,0.6626122801000001,7.268200321599999,4.609780761600001,1.6617788099999997,8.6783857281,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.3845,2.27094,2.59095,1.9549,1.75914,0.81401,2.69596,2.14704,1.2891,2.94591
1987-04-30,2.5637133455999996,2.2114961520999996,1.1858556609,3.5419239999999994,4.351604602500001,2.5603200100000003,6.5691740416,7.354889760100001,6.682431801599999,8.0031278404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.60116,-1.48711,-1.08897,-1.882,-2.08605,-1.6001,-2.56304,-2.71199,-2.58504,-2.82898
1987-05-31,0.3501325584,0.47627941690000003,0.0395850816,1.3901824836,0.16638240999999998,0.06603872039999999,0.31041612250000006,0.0022193521,0.0125283249,0.00028527209999999997,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.59172,0.69013,0.19896,1.17906,0.4079,0.25698,0.55715,-0.04711,-0.11193,0.01689
1987-06-30,19.4636262976,24.8988026169,21.253667428900002,28.7734615281,9.236007246399998,6.9703392196000005,11.771006192100002,4.700310720399999,4.7830564804,4.623016014399999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.41176,4.98987,4.61017,5.36409,3.03908,2.64014,3.43089,2.16802,2.18702,2.15012
1987-07-31,20.3134095616,21.651525734400003,14.5298954761,30.237461299599996,23.444963999999995,16.523412009999998,31.3598880001,12.802083999999999,11.8882212849,13.7044338025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.50704,4.65312,3.81181,5.49886,4.842,4.0649,5.59999,3.578,3.44793,3.70195
